Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
	306.217	M-HCOOH+H[1+]	-0.002
	354.2231	M(Cl37)+H[1+]	0.0015
	316.2012	M-H4O2+H[1+]	-0.002
	436.1867	M+HCOOK[1+]	0.001
	316.2039	M-H4O2+H[1+]	0.0007
	334.2151	M-H2O+H[1+]	0.0013
	436.1858	M+HCOOK[1+]	0.0001
	118.0786	M+3H[3+]	-0.0011
	324.2318	M-CO+H[1+]	0.0024
	436.1859	M+HCOOK[1+]	0.0002
	118.079	M+3H[3+]	-0.0007
	420.2126	M+HCOONa[1+]	0.0008
	334.2148	M-H2O+H[1+]	0.001
	352.2241	M+H[1+]	-0.0003
	306.2166	M-HCOOH+H[1+]	-0.0024
	334.216	M-H2O+H[1+]	0.0022
CE6185	omega-carboxy-trinor-leukotriene B4	19	336.1573
	337.166	M+H[1+]	0.0014
	336.1559	M[1+]	-0.0014
	339.163	M(Cl37)+H[1+]	0.0012
	180.0763	M+H+Na[2+]	-0.0006
	336.1572	M[1+]	-0.0001
	336.1587	M[1+]	0.0014
	338.1689	M(C13)+H[1+]	0.0009
	291.158	M-HCOOH+H[1+]	-0.0012
	180.0762	M+H+Na[2+]	-0.0007
	336.1568	M[1+]	-0.0005
	339.163	M(S34)+H[1+]	0.0026
	265.1445	M-C3H4O2+H[1+]	0.001
	339.1622	M(Cl37)+H[1+]	0.0004
	265.1436	M-C3H4O2+H[1+]	0.0001
	113.0588	M+3H[3+]	-0.0009
	180.0777	M+H+Na[2+]	0.0008
	336.1545	M[1+]	-0.0028
	180.077	M+H+Na[2+]	0.0001
	180.0757	M+H+Na[2+]	-0.0012
	339.1622	M(S34)+H[1+]	0.0018
	265.1447	M-C3H4O2+H[1+]	0.0012
	336.1561	M[1+]	-0.0012
	265.1448	M-C3H4O2+H[1+]	0.0013
	265.1441	M-C3H4O2+H[1+]	0.0006
	180.0765	M+H+Na[2+]	-0.0004
	180.0779	M+H+Na[2+]	0.001
C16661	L-alpha-Acetyl-N-normethadol; nor-LAAM	21	339.2198
	342.2253	M(Cl37)+H[1+]	0.001
	342.2231	M(Cl37)+H[1+]	-0.0012
	296.2356	M-CO2+H[1+]	-0.0017
	362.2091	M+Na[1+]	0.0
	296.2369	M-CO2+H[1+]	-0.0004
	296.235	M-CO2+H[1+]	-0.0023
	268.2039	M-C3H4O2+H[1+]	-0.0021
	312.2301	M-CO+H[1+]	-0.002
	296.2351	M-CO2+H[1+]	-0.0022
	296.2353	M-CO2+H[1+]	-0.002
	340.2278	M+H[1+]	0.0007
	424.1916	M+HCOOK[1+]	0.0032
	294.2191	M-HCOOH+H[1+]	-0.0026
	296.2361	M-CO2+H[1+]	-0.0012
	268.2042	M-C3H4O2+H[1+]	-0.0018
