SOURCE	TARGET	ENZYMES
CE6232	CE6234	1.14.99.1
C00584	C00427	
C00584	C04741	
C00584	C00639	;1.1.1.189;1.1.1.184
C00584	C05954	
C00584	C05953	4.2.1.-
CE6234	C04741	5.3.99.3
CE7092	C04741	
CE0955	C05962	
CE0955	C01312	
C01312	C00427	
CE5304	C00696	
C05963	C02198	
C05963	CE1447	
C04741	C04654	;1.3.1.-;4.2.1.-;5.3.99.3;1.1.1.197;1.1.1.141
CE4876	C00696	
CE4876	C05957	
C00427	C05956	1.14.99.1
C00427	C00639	
C00427	C00696	5.3.99.2;1.1.1.188
C00427	C02198	5.3.99.5
C00696	C05957	;1.1.1.188
C00696	C05959	
C00696	C00639	
C00696	CE6240	
C05953	C05955	5.3.-.-
C05954	C05955	
