SOURCE	TARGET	ENZYMES
CE6474	C00909	
C06315	CE2567	
C06315	CE7172	
C06314	CE2567	
C06314	CE5661	3.3.2.9;1.1.1.141;3.3.2.10
CE6473	C00909	
C00909	CE2567	;3.3.2.10;3.3.2.6;1.13.11.31;3.3.2.9;1.13.11.34;4.4.1.20
C00909	CE6246	;1.13.11.31;1.13.11.34
CE5352	CE5179	1.1.1.184;1.14.14.1;6.2.1.3
CE5179	CE5178	
CE5178	CE2445	
CE5178	CE7097	
CE6247	CE6246	
CE7097	CE6246	
CE7097	CE2084	
