m/z	retention time	p-value	statistic
794.8442	0.876005	2.0	1000.0
326.19327	3.8029847	2.0	1000.0
315.2414	8.681964	2.0	1000.0
359.961	2.5819967	2.0	1000.0
266.17154	5.04002	2.0	1000.0
105.07966	1.0469975	2.0	1000.0
136.08832	4.1040034	2.0	1000.0
236.18938	8.233944	2.0	1000.0
471.29562	9.777004	2.0	1000.0
166.11124	0.9159932	2.0	1000.0
247.15018	7.2080073	2.0	1000.0
151.06354	3.614992	2.0	1000.0
326.1936	4.357016	2.0	1000.0
295.07162	6.305979	2.0	1000.0
240.0612	6.165024	2.0	1000.0
162.12589	6.085996	2.0	1000.0
127.09987	4.8999934	2.0	1000.0
194.14221	5.5319867	2.0	1000.0
442.32742	14.338967	2.0	1000.0
278.2361	10.270017	2.0	1000.0
296.23547	13.540031	2.0	1000.0
161.10538	0.79000145	2.0	1000.0
148.11003	4.425023	2.0	1000.0
315.20526	5.7570143	2.0	1000.0
337.33475	16.551872	2.0	1000.0
670.49347	16.573128	2.0	1000.0
370.21936	4.1729884	2.0	1000.0
356.2698	11.253946	2.0	1000.0
188.10495	6.0209966	2.0	1000.0
165.07928	1.2960021	2.0	1000.0
633.44574	13.440947	2.0	1000.0
267.1436	4.340982	2.0	1000.0
222.1733	7.4440317	2.0	1000.0
285.1367	10.274946	2.0	1000.0
128.05789	0.8009967	2.0	1000.0
589.4185	13.467913	2.0	1000.0
287.21042	7.2529798	2.0	1000.0
239.15213	7.344975	2.0	1000.0
458.27185	5.035982	2.0	1000.0
134.09454	3.6459963	2.0	1000.0
244.10585	7.154037	2.0	1000.0
707.50336	14.840924	2.0	1000.0
121.05287	0.8320007	2.0	1000.0
662.44714	14.729982	2.0	1000.0
319.23575	4.740986	2.0	1000.0
112.0524	7.250981	2.0	1000.0
346.12094	9.582022	2.0	1000.0
332.2928	14.349088	2.0	1000.0
450.22357	11.93405	2.0	1000.0
208.15758	6.5510206	2.0	1000.0
550.34283	13.626962	2.0	1000.0
373.15503	6.5149646	2.0	1000.0
677.4709	13.416015	2.0	1000.0
204.07214	4.0200133	2.0	1000.0
146.07336	8.62402	2.0	1000.0
199.12244	0.8840022	2.0	1000.0
519.2837	10.903974	2.0	1000.0
278.08575	9.19096	2.0	1000.0
665.59393	14.272958	2.0	1000.0
269.3087	12.729003	2.0	1000.0
651.4031	5.672035	2.0	1000.0
487.8721	3.3470128	2.0	1000.0
454.3277	15.047948	2.0	1000.0
264.07578	9.62598	2.0	1000.0
146.07332	7.3180504	2.0	1000.0
370.1753	13.536027	2.0	1000.0
261.246	10.956043	2.0	1000.0
308.28323	11.607944	2.0	1000.0
162.08765	4.0939946	2.0	1000.0
314.11578	11.479983	2.0	1000.0
615.16876	10.13901	2.0	1000.0
362.30344	13.8110285	2.0	1000.0
246.14713	7.0769677	2.0	1000.0
269.30814	11.444959	2.0	1000.0
594.37134	13.469097	2.0	1000.0
598.44727	15.424921	2.0	1000.0
431.1967	6.585992	2.0	1000.0
373.24612	6.6179776	2.0	1000.0
430.34485	16.527952	2.0	1000.0
163.09962	4.9330134	2.0	1000.0
165.02242	0.8259961	2.0	1000.0
196.06935	5.462976	2.0	1000.0
384.1428	8.689956	2.0	1000.0
196.12134	4.760988	2.0	1000.0
545.3887	13.541993	2.0	1000.0
294.189	6.4799843	0.03	2.1775608803004722
404.34995	15.394036	2.0	1000.0
314.18683	11.551923	2.0	1000.0
386.17383	9.904974	2.0	1000.0
360.2167	13.147959	2.0	1000.0
306.2674	10.772961	2.0	1000.0
302.2002	7.434031	2.0	1000.0
436.36716	12.282073	2.0	1000.0
308.24435	11.045939	2.0	1000.0
370.3082	16.133902	2.0	1000.0
638.39905	13.444939	2.0	1000.0
312.1567	5.412023	2.0	1000.0
326.1933	3.801018	2.0	1000.0
296.23563	13.222052	2.0	1000.0
360.324	15.400909	2.0	1000.0
369.14157	10.863944	2.0	1000.0
422.19217	10.612963	2.0	1000.0
287.24573	9.704055	2.0	1000.0
194.14198	4.5470147	2.0	1000.0
638.4504	16.086939	2.0	1000.0
353.27707	11.592936	2.0	1000.0
334.2991	12.517059	2.0	1000.0
274.05807	9.465004	2.0	1000.0
486.35312	14.333007	2.0	1000.0
462.29587	13.522958	2.0	1000.0
663.4495	16.866102	2.0	1000.0
582.248	9.5	2.0	1000.0
502.29816	5.2170224	2.0	1000.0
336.15683	11.54996	2.0	1000.0
342.29053	9.412059	0.03	2.1775608803004722
649.1292	10.497035	2.0	1000.0
414.20386	10.375979	2.0	1000.0
261.15894	7.434031	2.0	1000.0
336.31442	12.582024	2.0	1000.0
230.10059	9.676954	2.0	1000.0
285.194	6.4089913	2.0	1000.0
497.39343	13.350064	0.03	2.1775608803004722
235.10625	6.165024	2.0	1000.0
369.2153	7.027035	2.0	1000.0
102.04734	0.92800295	2.0	1000.0
101.08398	4.006985	2.0	1000.0
117.07914	0.8640052	2.0	1000.0
285.2649	10.855967	2.0	1000.0
311.35468	12.973032	2.0	1000.0
417.21066	6.5280204	2.0	1000.0
164.04713	0.8710018	2.0	1000.0
266.16498	12.35998	2.0	1000.0
313.2253	8.106978	2.0	1000.0
112.05258	9.561025	2.0	1000.0
105.08233	0.9710025	2.0	1000.0
707.50287	14.725067	2.0	1000.0
131.06934	0.8059998	2.0	1000.0
222.08955	8.54298	2.0	1000.0
280.25174	10.398961	2.0	1000.0
228.13393	6.4699755	2.0	1000.0
134.09415	0.9710025	2.0	1000.0
357.3604	12.613919	2.0	1000.0
229.24031	9.325003	2.0	1000.0
532.2739	14.043954	2.0	1000.0
243.18353	8.142042	2.0	1000.0
695.263	16.058064	2.0	1000.0
320.2306	12.501963	2.0	1000.0
283.32355	12.338984	2.0	1000.0
414.2459	4.4720054	2.0	1000.0
245.17813	13.494033	2.0	1000.0
452.32138	14.96194	2.0	1000.0
261.19327	3.7760007	2.0	1000.0
425.31232	9.6230345	2.0	1000.0
794.8432	1.2540048	2.0	1000.0
616.4677	16.097057	2.0	1000.0
562.421	15.034077	2.0	1000.0
384.19907	4.689967	2.0	1000.0
371.2352	10.16503	2.0	1000.0
112.05243	10.592951	2.0	1000.0
585.43115	16.348034	2.0	1000.0
365.25974	8.509989	2.0	1000.0
351.3148	13.96397	2.0	1000.0
358.23282	11.594074	2.0	1000.0
168.02892	0.82900286	2.0	1000.0
203.11572	0.8380043	2.0	1000.0
436.22833	4.4809785	2.0	1000.0
316.20135	11.958007	2.0	1000.0
176.14151	6.837959	2.0	1000.0
170.094	6.2280226	2.0	1000.0
186.11555	8.310043	2.0	1000.0
171.08856	4.287	2.0	1000.0
350.2938	11.043957	2.0	1000.0
693.6256	14.733918	2.0	1000.0
342.214	13.649936	2.0	1000.0
449.31418	9.904974	2.0	1000.0
170.09402	4.421001	2.0	1000.0
1090.7198	14.517063	2.0	1000.0
527.774	5.9960194	2.0	1000.0
285.13647	10.556014	2.0	1000.0
208.12737	4.0290246	2.0	1000.0
520.23016	10.94398	2.0	1000.0
376.2177	14.168954	2.0	1000.0
720.50165	13.391078	2.0	1000.0
726.4575	13.394035	2.0	1000.0
159.1257	0.82400334	2.0	1000.0
541.4198	13.327039	0.03	2.1775608803004722
620.30316	15.640043	2.0	1000.0
315.20493	5.8249707	2.0	1000.0
530.3571	12.788055	2.0	1000.0
309.2633	9.143027	2.0	1000.0
319.2355	4.740986	2.0	1000.0
707.5031	14.426889	2.0	1000.0
131.09468	0.92000544	2.0	1000.0
127.09998	4.8999934	2.0	1000.0
530.3791	14.319932	2.0	1000.0
712.8388	0.9259965	2.0	1000.0
691.6099	14.345084	2.0	1000.0
320.15918	13.203016	2.0	1000.0
406.3292	13.882942	2.0	1000.0
463.27432	8.729003	2.0	1000.0
380.12326	11.520017	2.0	1000.0
289.26135	9.400929	2.0	1000.0
342.2141	14.413059	2.0	1000.0
275.127	7.439957	2.0	1000.0
203.13219	5.693032	2.0	1000.0
322.29813	12.172972	0.03	2.1775608803004722
320.23276	12.785037	2.0	1000.0
238.14133	3.6989822	2.0	1000.0
179.17708	7.6330414	2.0	1000.0
472.25067	5.1200247	2.0	1000.0
177.15144	7.6950216	2.0	1000.0
101.08386	4.0059905	2.0	1000.0
246.13734	4.1440196	2.0	1000.0
704.44104	16.011099	2.0	1000.0
218.09158	7.3520355	2.0	1000.0
662.4473	15.324096	2.0	1000.0
99.06794	1.0029964	2.0	1000.0
227.1887	9.094029	2.0	1000.0
103.10017	12.023956	2.0	1000.0
198.17265	8.517044	2.0	1000.0
375.3112	14.483919	2.0	1000.0
765.5226	13.362928	2.0	1000.0
502.3488	13.350064	0.03	2.1775608803004722
194.1417	4.808011	2.0	1000.0
706.47644	14.236942	2.0	1000.0
194.14204	4.373021	2.0	1000.0
248.19884	9.416015	2.0	1000.0
428.2238	4.9209905	2.0	1000.0
640.4632	14.409073	2.0	1000.0
246.14693	7.250981	2.0	1000.0
570.3859	8.684038	2.0	1000.0
204.1097	7.347962	2.0	1000.0
592.32434	6.9120417	2.0	1000.0
413.3626	14.661036	2.0	1000.0
607.41284	16.358938	2.0	1000.0
408.17596	15.207025	2.0	1000.0
594.3385	6.9499674	2.0	1000.0
191.15514	0.82000506	2.0	1000.0
303.14877	5.771978	2.0	1000.0
519.2838	10.903974	2.0	1000.0
285.13647	10.561026	2.0	1000.0
246.14708	7.0910144	2.0	1000.0
707.49554	14.234963	2.0	1000.0
649.1294	9.648964	2.0	1000.0
424.27972	14.351049	2.0	1000.0
384.1988	4.6800084	2.0	1000.0
191.15279	0.8380043	0.03	2.1775608803004722
762.82904	0.91299605	2.0	1000.0
427.31226	16.185034	2.0	1000.0
530.4003	16.205053	2.0	1000.0
399.186	8.915028	2.0	1000.0
387.3877	13.265029	2.0	1000.0
103.09956	12.536018	2.0	1000.0
585.4311	16.369051	2.0	1000.0
399.36917	12.977041	2.0	1000.0
112.05237	7.228023	2.0	1000.0
299.28177	10.903974	2.0	1000.0
112.05233	10.469057	2.0	1000.0
298.1413	6.018007	2.0	1000.0
425.35056	12.42691	2.0	1000.0
340.1725	4.4319916	2.0	1000.0
636.2978	14.134899	2.0	1000.0
430.3447	16.528944	2.0	1000.0
180.06651	3.649017	2.0	1000.0
292.09103	0.8450011	2.0	1000.0
311.15237	11.541993	2.0	1000.0
817.8656	0.91900444	2.0	1000.0
726.82654	0.93600315	2.0	1000.0
371.33926	12.366064	2.0	1000.0
613.17303	10.138007	2.0	1000.0
497.27573	7.8020015	2.0	1000.0
352.16647	10.951032	2.0	1000.0
429.37198	16.800894	2.0	1000.0
426.2771	6.5080385	2.0	1000.0
208.1576	5.5869827	2.0	1000.0
406.27426	14.045931	2.0	1000.0
316.20117	11.939952	2.0	1000.0
218.18787	11.78305	2.0	1000.0
530.21234	10.065956	2.0	1000.0
150.08852	2.2719858	2.0	1000.0
673.2799	16.059044	2.0	1000.0
525.25714	10.065956	2.0	1000.0
308.2468	10.313974	2.0	1000.0
451.72998	5.566976	2.0	1000.0
322.13974	10.592951	2.0	1000.0
642.3483	11.199051	2.0	1000.0
248.19864	9.771976	2.0	1000.0
228.1468	0.83899647	2.0	1000.0
498.25793	6.701971	2.0	1000.0
179.05722	4.447016	2.0	1000.0
342.14713	12.899937	2.0	1000.0
212.14227	6.5390077	2.0	1000.0
662.4656	13.998038	2.0	1000.0
334.27155	12.6840515	0.03	2.1775608803004722
770.4783	13.369032	2.0	1000.0
105.07899	1.0469975	2.0	1000.0
424.2798	14.112922	2.0	1000.0
128.06285	9.208985	2.0	1000.0
648.50336	16.584967	2.0	1000.0
428.22467	4.633031	2.0	1000.0
290.24588	12.695943	2.0	1000.0
330.23938	9.166993	2.0	1000.0
182.07037	6.481989	2.0	1000.0
426.29654	14.112922	2.0	1000.0
330.24008	10.354003	2.0	1000.0
560.33057	6.302983	2.0	1000.0
519.28394	10.903974	2.0	1000.0
